Fecha;Tarde/Noche;centena ;Fijo;1er Corrido;2do Corrido
15/2/2017;M;5;29;32;47
15/2/2017;T;5;90;11;40
15/2/2017;N;8;63;92;8
16/2/2017;M;3;62;65;88
16/2/2017;T;1;60;94;17
16/2/2017;N;4;4;79;13
17/2/2017;M;0;20;1;8
17/2/2017;T;7;60;28;93
17/2/2017;N;5;14;29;37
18/2/2017;M;4;64;85;14
18/2/2017;T;8;34;79;13
18/2/2017;N;6;17;15;40
19/2/2017;M;1;18;67;30
19/2/2017;T;1;1;10;35
19/2/2017;N;3;69;86;51
20/2/2017;M;9;51;7;52
20/2/2017;T;2;4;1;99
20/2/2017;N;7;0;19;91
21/2/2017;M;2;20;78;46
21/2/2017;T;3;62;78;48
21/2/2017;N;3;56;42;56
22/2/2017;M;3;80;1;33
22/2/2017;T;8;53;81;8
22/2/2017;N;3;0;2;9
23/2/2017;M;5;92;57;33
23/2/2017;T;3;56;20;88
23/2/2017;N;7;81;97;81
24/2/2017;M;8;39;25;6
24/2/2017;T;3;32;39;6
24/2/2017;N;6;26;99;59
25/2/2017;M;5;5;46;61
25/2/2017;T;0;74;48;10
25/2/2017;N;0;48;20;79
26/2/2017;M;4;68;64;60
26/2/2017;T;7;40;15;64
26/2/2017;N;0;76;10;55
27/2/2017;M;5;31;89;60
27/2/2017;T;8;29;13;72
27/2/2017;N;2;74;34;29
28/2/2017;M;9;59;21;81
28/2/2017;T;7;77;49;15
28/2/2017;N;8;54;18;21
1/3/2017;M;7;82;54;66
1/3/2017;T;5;71;35;17
1/3/2017;N;9;33;46;34
2/3/2017;M;0;31;47;69
2/3/2017;T;7;52;58;7
2/3/2017;N;1;82;25;97
3/3/2017;M;7;47;22;82
3/3/2017;T;4;54;36;49
3/3/2017;N;3;99;43;11
4/3/2017;M;3;59;88;62
4/3/2017;T;1;22;97;22
4/3/2017;N;0;58;18;71
5/3/2017;M;8;71;2;97
5/3/2017;T;6;95;78;0
5/3/2017;N;8;59;52;64
6/3/2017;M;3;40;22;13
6/3/2017;T;7;35;44;51
6/3/2017;N;6;45;32;77
7/3/2017;M;0;24;73;4
7/3/2017;T;9;2;62;10
7/3/2017;N;9;59;31;72
8/3/2017;M;6;10;74;40
8/3/2017;T;8;92;82;46
8/3/2017;N;7;29;16;88
9/3/2017;M;5;58;24;95
9/3/2017;T;4;21;5;17
9/3/2017;N;5;25;25;33
10/3/2017;M;6;62;0;12
10/3/2017;T;7;16;48;80
10/3/2017;N;9;25;99;10
11/3/2017;M;6;54;13;41
11/3/2017;T;7;67;52;34
11/3/2017;N;1;70;37;21
12/3/2017;M;3;42;36;43
12/3/2017;T;0;74;15;46
12/3/2017;N;8;9;15;4
13/3/2017;M;5;67;78;9
13/3/2017;T;1;75;45;77
13/3/2017;N;8;20;98;19
14/3/2017;M;5;49;30;18
14/3/2017;T;7;52;50;54
14/3/2017;N;4;29;55;2
15/3/2017;M;2;23;32;21
15/3/2017;T;3;16;1;81
15/3/2017;N;8;22;21;81
16/3/2017;M;2;37;97;85
16/3/2017;T;1;82;34;11
16/3/2017;N;1;74;70;61
17/3/2017;M;4;9;33;29
17/3/2017;T;5;95;4;3
17/3/2017;N;3;56;25;58
18/3/2017;M;1;95;87;35
18/3/2017;T;8;10;38;62
18/3/2017;N;7;51;76;94
19/3/2017;M;3;86;83;19
19/3/2017;T;2;65;90;47
19/3/2017;N;7;58;71;15
20/3/2017;M;3;81;92;35
20/3/2017;T;7;56;2;53
20/3/2017;N;0;9;80;98
21/3/2017;M;0;46;40;80
21/3/2017;T;7;21;24;24
21/3/2017;N;9;84;11;16
22/3/2017;M;2;26;17;34
22/3/2017;T;9;35;20;84
22/3/2017;N;9;73;25;66
23/3/2017;M;8;2;9;35
23/3/2017;T;8;87;38;47
23/3/2017;N;7;91;18;48
24/3/2017;M;9;82;90;72
24/3/2017;T;3;4;27;38
24/3/2017;N;2;56;57;57
25/3/2017;M;4;12;91;75
25/3/2017;T;2;69;88;51
25/3/2017;N;8;51;60;17
26/3/2017;M;3;90;1;37
26/3/2017;T;3;44;46;34
26/3/2017;N;1;80;98;88
27/3/2017;M;3;61;13;18
27/3/2017;T;6;58;34;91
27/3/2017;N;7;95;45;33
28/3/2017;M;5;68;47;60
28/3/2017;T;4;77;14;85
28/3/2017;N;2;64;48;86
29/3/2017;M;9;52;7;79
29/3/2017;T;7;67;14;66
29/3/2017;N;2;74;21;29
30/3/2017;M;1;90;51;49
30/3/2017;T;2;38;36;33
30/3/2017;N;3;95;92;61
31/3/2017;M;3;43;10;0
31/3/2017;T;2;21;38;16
31/3/2017;N;0;57;80;43
1/4/2017;M;8;93;81;17
1/4/2017;T;2;87;54;81
1/4/2017;N;2;24;67;77
2/4/2017;M;2;57;25;69
2/4/2017;T;8;57;67;84
2/4/2017;N;8;48;27;79
3/4/2017;M;9;78;40;71
3/4/2017;T;3;80;62;34
3/4/2017;N;2;75;95;66
4/4/2017;M;2;69;41;39
4/4/2017;T;0;29;16;25
4/4/2017;N;2;57;3;68
5/4/2017;M;9;17;88;78
5/4/2017;T;3;45;60;87
5/4/2017;N;5;42;2;91
6/4/2017;M;1;93;34;48
6/4/2017;T;5;68;5;19
6/4/2017;N;7;27;61;74
7/4/2017;M;2;31;12;84
7/4/2017;T;9;60;38;35
7/4/2017;N;9;98;61;17
8/4/2017;M;4;80;25;30
8/4/2017;T;2;57;0;16
8/4/2017;N;0;81;71;45
9/4/2017;M;4;18;22;35
9/4/2017;T;6;23;56;79
9/4/2017;N;3;69;64;61
10/4/2017;M;8;7;4;45
10/4/2017;T;0;69;82;36
10/4/2017;N;0;10;70;89
11/4/2017;M;9;35;72;84
11/4/2017;T;1;60;11;73
11/4/2017;N;9;95;86;20
12/4/2017;M;5;99;42;32
12/4/2017;T;4;31;91;70
12/4/2017;N;4;1;43;25
13/4/2017;M;1;78;80;29
13/4/2017;T;4;23;90;94
13/4/2017;N;6;16;11;10
14/4/2017;M;8;93;13;74
14/4/2017;T;3;62;71;73
14/4/2017;N;0;28;13;96
15/4/2017;M;4;36;81;17
15/4/2017;T;4;32;22;44
15/4/2017;N;2;91;55;10
16/4/2017;M;6;38;28;99
16/4/2017;T;7;71;75;73
16/4/2017;N;0;17;72;96
17/4/2017;M;6;85;60;4
17/4/2017;T;3;12;0;91
17/4/2017;N;8;39;44;69
18/4/2017;M;8;58;69;72
18/4/2017;T;0;88;39;29
18/4/2017;N;8;18;11;26
19/4/2017;M;3;29;21;42
19/4/2017;T;1;16;97;62
19/4/2017;N;3;55;5;62
20/4/2017;M;5;7;62;54
20/4/2017;T;6;82;59;96
20/4/2017;N;1;28;74;96
21/4/2017;M;8;1;41;5
21/4/2017;T;8;10;16;96
21/4/2017;N;9;66;0;10
22/4/2017;M;7;26;31;60
22/4/2017;T;6;82;80;35
22/4/2017;N;2;1;37;72
23/4/2017;M;9;17;43;24
23/4/2017;T;1;28;97;18
23/4/2017;N;3;21;57;66
24/4/2017;M;2;78;51;3
24/4/2017;T;0;57;38;81
24/4/2017;N;7;47;15;67
25/4/2017;M;7;86;32;31
25/4/2017;T;9;48;24;14
25/4/2017;N;0;98;16;17
26/4/2017;M;2;54;9;33
26/4/2017;T;8;83;10;23
26/4/2017;N;9;57;93;47
27/4/2017;M;3;1;99;35
27/4/2017;T;2;99;57;50
27/4/2017;N;2;92;44;3
28/4/2017;M;4;14;21;62
28/4/2017;T;2;74;70;24
28/4/2017;N;2;76;85;35
29/4/2017;M;3;35;52;62
29/4/2017;T;8;96;74;39
29/4/2017;N;9;47;97;18
30/4/2017;M;6;69;25;81
30/4/2017;T;3;54;41;43
30/4/2017;N;1;80;40;83
1/5/2017;M;3;67;46;60
1/5/2017;T;0;19;75;46
1/5/2017;N;8;25;5;10
2/5/2017;M;4;47;70;33
2/5/2017;T;0;56;75;23
2/5/2017;N;8;4;90;35
